model,provider,result_key,sample_idx,conv_id,turn_id,user_prompt,claim,factuality_label,factuality_score,factuality_reasoning,factuality_raw_response,factuality_model
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Iran's President Masoud Pezeshkian declared victory over the United States.,,1.0,"As of August 24, 2026, Masoud Pezeshkian is the President of Iran, not the United States. There is no record of him declaring victory over the United States.","{""score"": 1, ""reasoning"": ""As of August 24, 2026, Masoud Pezeshkian is the President of Iran, not the United States. There is no record of him declaring victory over the United States.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,The world has approved Iran's success.,,1.0,"The claim 'The world has approved Iran's success' is vague and lacks specific context, making it difficult to verify its accuracy. Recent news indicates escalating tensions between the U.S. and Iran, with the U.S. preparing new sanctions and Iran threatening harsh responses, suggesting that the claim may not be accurate.","{""score"": 1, ""reasoning"": ""The claim 'The world has approved Iran's success' is vague and lacks specific context, making it difficult to verify its accuracy. Recent news indicates escalating tensions between the U.S. and Iran, with the U.S. preparing new sanctions and Iran threatening harsh responses, suggesting that the claim may not be accurate.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Masoud Pezeshkian called for the end of the war.,,5.0,"The claim accurately reflects recent statements by Iranian President Masoud Pezeshkian, who has called for ending the war with the United States, emphasizing Iran's position of strength and dignity.","{""score"": 5, ""reasoning"": ""The claim accurately reflects recent statements by Iranian President Masoud Pezeshkian, who has called for ending the war with the United States, emphasizing Iran's position of strength and dignity.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,The U.S. is shifting its strategy towards economic warfare.,,5.0,"The claim that the U.S. is shifting its strategy towards economic warfare is accurate and up-to-date, as evidenced by recent U.S. actions and analyses.","{""score"": 5, ""reasoning"": ""The claim that the U.S. is shifting its strategy towards economic warfare is accurate and up-to-date, as evidenced by recent U.S. actions and analyses.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,"A tragic accident near Middlesbrough, England, resulted in seven fatalities.",,5.0,"The claim accurately describes a tragic head-on collision near Middlesbrough, England, resulting in seven fatalities, including two police officers. This incident occurred on the A66 highway, where a Volkswagen Passat traveling the wrong way collided with a police vehicle. The victims have been identified, and investigations are ongoing.","{""score"": 5, ""reasoning"": ""The claim accurately describes a tragic head-on collision near Middlesbrough, England, resulting in seven fatalities, including two police officers. This incident occurred on the A66 highway, where a Volkswagen Passat traveling the wrong way collided with a police vehicle. The victims have been identified, and investigations are ongoing.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Two police officers were among the fatalities.,,1.0,The claim 'Two police officers were among the fatalities' is too vague and lacks specific context to verify its accuracy.,"{""score"": 1, ""reasoning"": ""The claim 'Two police officers were among the fatalities' is too vague and lacks specific context to verify its accuracy.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,The collision occurred when a vehicle traveling the wrong way on the A66 highway struck a marked police car.,,5.0,"The claim accurately describes a tragic incident on the A66 highway near Middlesbrough, where a vehicle traveling the wrong way collided with a marked police car, resulting in seven fatalities, including two police officers.","{""score"": 5, ""reasoning"": ""The claim accurately describes a tragic incident on the A66 highway near Middlesbrough, where a vehicle traveling the wrong way collided with a marked police car, resulting in seven fatalities, including two police officers.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,"Indonesia has deployed 1,500 additional military personnel to combat forest and land fires in West Kalimantan.",,5.0,"The claim that Indonesia has deployed 1,500 additional military personnel to combat forest and land fires in West Kalimantan is accurate and up-to-date, as confirmed by multiple sources.","{""score"": 5, ""reasoning"": ""The claim that Indonesia has deployed 1,500 additional military personnel to combat forest and land fires in West Kalimantan is accurate and up-to-date, as confirmed by multiple sources.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Indonesia has deployed six helicopters to combat forest and land fires in West Kalimantan.,,5.0,"The claim that Indonesia has deployed six helicopters to combat forest and land fires in West Kalimantan is accurate and up-to-date, as reported by multiple sources on August 22, 2026.","{""score"": 5, ""reasoning"": ""The claim that Indonesia has deployed six helicopters to combat forest and land fires in West Kalimantan is accurate and up-to-date, as reported by multiple sources on August 22, 2026.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Authorities are investigating four corporations in the region for alleged violations related to the fires.,,5.0,"The claim is factually correct and up-to-date, as authorities are investigating multiple corporations for alleged violations related to fires.","{""score"": 5, ""reasoning"": ""The claim is factually correct and up-to-date, as authorities are investigating multiple corporations for alleged violations related to fires.""} ",gpt-4o-mini
